                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80406,                0.49781,                0.92583,                0.97408,                0.99301,                0.98701,                  0.795,                0.80051,                0.39692,                0.89814,             0.00019084,             0.00019084,             0.00019084
                      2,                0.84502,                0.52909,                0.94151,                0.97294,                0.99021,                0.98669,                0.79402,                0.78961,                0.42568,                0.89445,             0.00038429,             0.00038429,             0.00038429
                      3,                0.85013,                0.53245,                0.94482,                0.98583,                0.97369,                0.98628,                0.78711,                 0.8209,                0.46389,                0.89921,             0.00057515,             0.00057515,             0.00057515
                      4,                0.87809,                  0.561,                0.95033,                0.97532,                  0.982,                0.98493,                0.74717,                0.93876,                0.47068,                0.92141,             0.00057636,             0.00057636,             0.00057636
                      5,                0.84799,                0.52935,                0.93943,                0.98192,                0.97923,                0.98677,                0.77184,                 0.8666,                0.45603,                0.90675,             0.00057248,             0.00057248,             0.00057248
                      6,                0.87149,                0.53454,                0.95106,                0.96586,                0.97735,                0.98543,                0.78624,                0.83419,                0.45644,                 0.9014,              0.0005686,              0.0005686,              0.0005686
                      7,                0.86445,                 0.5232,                0.94958,                0.95148,                0.97313,                0.98227,                0.76939,                0.84821,                0.46134,                0.90639,             0.00056472,             0.00056472,             0.00056472
                      8,                0.84499,                 0.5084,                0.93919,                0.97864,                0.98949,                0.98712,                0.77113,                0.87879,                0.46292,                0.91294,             0.00056083,             0.00056083,             0.00056083
                      9,                0.84377,                 0.5096,                0.94093,                0.97314,                0.98659,                0.98311,                0.78433,                0.84001,                0.45428,                0.90651,             0.00055695,             0.00055695,             0.00055695
                     10,                0.81063,                0.49201,                0.93206,                0.98009,                0.98176,                0.98346,                0.79081,                0.81207,                0.43548,                0.90076,             0.00055307,             0.00055307,             0.00055307
