                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.558,                 3.5315,                 1.2957,                0.03423,                0.97157,                0.25914,                0.19035,                0.99879,                 3.2713,                 0.9066,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.2959,                 2.0557,                 1.1364,                 0.7086,                0.31537,                0.57897,                0.42042,                0.99664,                 2.4686,                 0.9689,             0.00037918,             0.00037918,             0.00037918
                      3,                 1.2206,                 1.4929,                 1.0932,                0.81117,                0.61578,                0.73796,                0.48823,                 1.1686,                 1.7496,                 1.0137,             0.00055976,             0.00055976,             0.00055976
                      4,                 1.2086,                  1.322,                 1.0898,                0.77852,                0.90931,                0.91887,                0.64798,                 1.0307,                 1.0753,                0.98827,             0.00055307,             0.00055307,             0.00055307
                      5,                 1.1764,                 1.1365,                  1.081,                0.89507,                0.94468,                0.97248,                0.70893,                0.95928,                0.87565,                 0.9795,             0.00054143,             0.00054143,             0.00054143
                      6,                 1.1164,                 1.0089,                 1.0515,                0.93865,                0.93327,                0.97416,                0.74489,                 0.9102,                0.75512,                0.97685,             0.00052979,             0.00052979,             0.00052979
                      7,                 1.0976,                0.96035,                 1.0476,                0.96643,                0.94176,                0.97403,                0.73821,                0.89554,                0.72065,                0.98033,             0.00051815,             0.00051815,             0.00051815
                      8,                 1.0491,                0.89021,                 1.0322,                0.93333,                0.95745,                0.98171,                0.73816,                0.93089,                0.70323,                0.97138,              0.0005065,              0.0005065,              0.0005065
                      9,                 1.0452,                0.83577,                 1.0309,                0.94473,                0.98548,                0.98764,                0.76388,                0.87956,                0.68606,                0.95118,             0.00049486,             0.00049486,             0.00049486
                     10,                 1.0123,                0.80187,                 1.0225,                0.96389,                0.97812,                0.98887,                0.78352,                0.82636,                0.64476,                0.94798,             0.00048322,             0.00048322,             0.00048322
                     11,                 1.0301,                0.81885,                 1.0265,                0.97178,                0.98431,                0.98851,                0.76676,                0.88329,                0.63655,                0.95341,             0.00047158,             0.00047158,             0.00047158
                     12,                 1.0098,                0.79657,                 1.0256,                0.93794,                0.97457,                0.98484,                0.76643,                0.85221,                0.67088,                0.95795,             0.00045993,             0.00045993,             0.00045993
                     13,                0.98879,                 0.7665,                 1.0162,                0.97049,                0.99301,                0.99003,                0.75666,                0.88538,                0.61302,                0.97719,             0.00044829,             0.00044829,             0.00044829
                     14,                 1.0065,                0.74565,                 1.0197,                0.97197,                0.98822,                0.99178,                0.76077,                0.90271,                0.57389,                0.97372,             0.00043665,             0.00043665,             0.00043665
                     15,                0.97968,                0.71661,                 1.0121,                  0.983,                0.98724,                0.98989,                0.76927,                0.89607,                0.56515,                0.96393,             0.00042501,             0.00042501,             0.00042501
                     16,                0.95926,                0.70208,                  1.001,                 0.9798,                0.98637,                0.98776,                0.78075,                0.83252,                 0.5413,                0.94332,             0.00041336,             0.00041336,             0.00041336
                     17,                0.95843,                0.69676,                0.99831,                0.97298,                0.99101,                 0.9868,                0.78153,                0.83249,                0.54201,                0.94544,             0.00040172,             0.00040172,             0.00040172
                     18,                0.93487,                0.67745,                 0.9887,                0.97513,                0.99254,                0.98621,                0.77301,                0.84099,                0.53271,                 0.9452,             0.00039008,             0.00039008,             0.00039008
                     19,                0.95412,                0.68173,                 1.0033,                0.97244,                0.98783,                0.98862,                 0.7692,                0.85265,                0.51196,                0.95463,             0.00037844,             0.00037844,             0.00037844
                     20,                0.92979,                0.66503,                0.99649,                0.98506,                0.99197,                0.99047,                0.76691,                0.87274,                0.52196,                0.95841,             0.00036679,             0.00036679,             0.00036679
                     21,                0.92261,                0.65807,                0.99083,                0.98393,                0.99019,                0.98893,                0.78581,                0.83282,                0.48079,                0.95321,             0.00035515,             0.00035515,             0.00035515
                     22,                0.89873,                0.63402,                0.98478,                0.97849,                 0.9905,                0.99062,                0.78925,                0.82924,                0.49252,                0.94389,             0.00034351,             0.00034351,             0.00034351
                     23,                0.92196,                 0.6357,                0.98865,                0.97254,                0.99235,                0.98963,                0.78205,                0.84264,                0.49934,                0.95449,             0.00033187,             0.00033187,             0.00033187
                     24,                0.89848,                0.63288,                0.98783,                0.97964,                0.98874,                0.98984,                0.77011,                0.88655,                0.47253,                0.95271,             0.00032022,             0.00032022,             0.00032022
                     25,                0.88735,                0.61355,                0.97904,                0.97885,                0.99093,                0.98692,                0.78798,                0.81892,                0.45788,                0.93985,             0.00030858,             0.00030858,             0.00030858
                     26,                0.89787,                0.60618,                0.98685,                0.97664,                0.99131,                0.98833,                0.79698,                0.79053,                 0.4357,                 0.9324,             0.00029694,             0.00029694,             0.00029694
                     27,                0.85884,                0.59159,                0.96902,                0.98378,                0.99017,                0.98969,                0.77925,                0.86475,                 0.4442,                0.94814,              0.0002853,              0.0002853,              0.0002853
                     28,                0.86799,                0.58847,                0.98196,                0.98145,                0.99301,                0.98998,                0.79855,                0.78749,                0.42625,                0.93306,             0.00027366,             0.00027366,             0.00027366
                     29,                0.84973,                0.57933,                0.96753,                0.98581,                0.99201,                0.98884,                0.78539,                0.80498,                0.41849,                 0.9364,             0.00026201,             0.00026201,             0.00026201
                     30,                0.86573,                0.57302,                0.97127,                0.98549,                0.99224,                0.98715,                0.76655,                0.90041,                0.43858,                0.95737,             0.00025037,             0.00025037,             0.00025037
                     31,                0.85999,                0.58212,                0.97416,                0.98538,                0.99301,                0.98804,                0.78809,                0.79468,                 0.4114,                0.93318,             0.00023873,             0.00023873,             0.00023873
                     32,                0.83883,                0.55964,                0.95825,                0.98521,                0.99127,                0.98991,                0.79379,                0.78956,                0.40394,                0.93293,             0.00022709,             0.00022709,             0.00022709
                     33,                0.85078,                0.56535,                0.97027,                0.97744,                0.98922,                0.98777,                0.79587,                0.77437,                0.40658,                0.92601,             0.00021544,             0.00021544,             0.00021544
                     34,                0.84958,                0.55687,                0.96989,                0.98389,                0.99301,                0.98762,                0.79681,                0.77536,                0.39464,                0.93209,              0.0002038,              0.0002038,              0.0002038
                     35,                0.81211,                0.54198,                0.95274,                0.98779,                 0.9927,                 0.9871,                0.78533,                0.80203,                0.39395,                0.94038,             0.00019216,             0.00019216,             0.00019216
                     36,                0.81725,                0.54054,                0.95374,                0.98336,                0.99301,                0.98752,                0.78731,                0.79406,                0.39274,                0.93025,             0.00018052,             0.00018052,             0.00018052
