                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5977,                  3.631,                 1.2428,                0.36488,                0.37913,                0.21355,                0.13931,                 1.0656,                  3.479,                0.90745,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.3669,                 2.0454,                 1.0841,                0.81299,                0.16951,                0.49478,                 0.3427,                 1.0319,                 2.7616,                0.94697,             0.00037918,             0.00037918,             0.00037918
                      3,                 1.2575,                 1.5542,                 1.0539,                0.71526,                 0.4771,                0.63735,                0.43899,                 1.1237,                 1.8834,                0.95773,             0.00055976,             0.00055976,             0.00055976
                      4,                 1.1814,                 1.2855,                 1.0212,                 0.7301,                0.74928,                  0.822,                0.61389,                0.95942,                 1.1742,                0.93105,             0.00055307,             0.00055307,             0.00055307
                      5,                 1.1864,                 1.1975,                 1.0224,                0.83789,                0.88724,                0.93565,                0.67397,                0.97311,                0.96174,                0.93318,             0.00054143,             0.00054143,             0.00054143
                      6,                 1.1378,                 1.0744,                 1.0102,                  0.933,                0.89039,                0.96012,                0.68972,                0.99815,                0.87786,                0.93721,             0.00052979,             0.00052979,             0.00052979
                      7,                 1.1365,                0.97565,                0.99911,                0.90474,                 0.9395,                0.96154,                0.68769,                0.99198,                0.79496,                0.93265,             0.00051815,             0.00051815,             0.00051815
                      8,                 1.0956,                0.89852,                 0.9926,                0.93925,                0.93353,                0.96648,                0.74616,                0.86099,                0.70436,                0.91883,              0.0005065,              0.0005065,              0.0005065
                      9,                 1.0575,                0.85511,                0.98644,                0.95679,                0.95229,                0.97638,                0.76274,                0.84999,                0.71302,                0.91001,             0.00049486,             0.00049486,             0.00049486
                     10,                 1.0503,                 0.8238,                0.97997,                0.96364,                 0.9784,                0.98464,                0.74726,                0.91719,                0.63634,                0.92846,             0.00048322,             0.00048322,             0.00048322
                     11,                 1.0488,                0.81313,                0.98115,                0.96223,                0.98679,                0.98648,                 0.7552,                0.88645,                0.61434,                 0.9357,             0.00047158,             0.00047158,             0.00047158
                     12,                 1.0277,                0.77346,                0.97758,                0.97147,                0.98304,                0.98768,                0.78442,                0.82726,                0.64596,                0.90801,             0.00045993,             0.00045993,             0.00045993
                     13,                 1.0193,                0.76412,                0.97421,                0.98069,                0.97945,                 0.9904,                0.75495,                0.94629,                0.60948,                0.92969,             0.00044829,             0.00044829,             0.00044829
                     14,                  1.002,                0.73647,                0.97025,                0.96702,                0.98371,                0.98728,                0.75762,                0.88756,                 0.5787,                  0.917,             0.00043665,             0.00043665,             0.00043665
                     15,                0.98999,                0.71495,                0.96395,                0.97435,                0.98987,                0.98682,                0.77538,                0.86055,                0.54676,                0.91243,             0.00042501,             0.00042501,             0.00042501
                     16,                0.97254,                0.70252,                0.96235,                0.98453,                  0.988,                  0.989,                0.75843,                0.89354,                0.52195,                 0.9176,             0.00041336,             0.00041336,             0.00041336
                     17,                0.96901,                0.69853,                0.96285,                0.97241,                0.98675,                0.98844,                0.78256,                0.80211,                0.52709,                0.90434,             0.00040172,             0.00040172,             0.00040172
                     18,                0.94929,                0.67247,                0.95064,                 0.9786,                  0.983,                0.98938,                0.78048,                 0.8257,                0.51607,                0.90801,             0.00039008,             0.00039008,             0.00039008
                     19,                0.94793,                0.67918,                0.95943,                0.97743,                0.98769,                0.98953,                0.78309,                0.81396,                0.51519,                0.90665,             0.00037844,             0.00037844,             0.00037844
                     20,                0.93551,                0.65851,                0.94827,                0.96996,                 0.9838,                0.98702,                0.78423,                 0.7894,                0.50583,                0.89598,             0.00036679,             0.00036679,             0.00036679
                     21,                0.93587,                0.64925,                0.95073,                0.96443,                0.98378,                0.98834,                0.78024,                0.80589,                0.48623,                0.90158,             0.00035515,             0.00035515,             0.00035515
                     22,                0.93064,                0.65402,                0.94942,                0.98262,                0.98029,                0.98737,                0.79202,                0.78315,                0.46466,                0.89743,             0.00034351,             0.00034351,             0.00034351
                     23,                0.91918,                0.63606,                 0.9506,                0.98379,                0.98168,                 0.9901,                0.78444,                0.81199,                0.47711,                0.91152,             0.00033187,             0.00033187,             0.00033187
                     24,                0.94182,                0.63773,                0.96059,                0.98536,                 0.9871,                 0.9897,                0.77399,                0.85134,                0.46445,                0.91057,             0.00032022,             0.00032022,             0.00032022
                     25,                0.92982,                0.63374,                0.95115,                0.97835,                0.98526,                0.98815,                0.76553,                0.85843,                0.47266,                 0.9145,             0.00030858,             0.00030858,             0.00030858
                     26,                0.91298,                0.61213,                0.94879,                0.98055,                0.98242,                0.98385,                0.77861,                0.82711,                 0.4644,                0.90347,             0.00029694,             0.00029694,             0.00029694
                     27,                0.90897,                0.61267,                0.95031,                0.98488,                0.98972,                0.99071,                0.78097,                0.82049,                0.44991,                0.91244,              0.0002853,              0.0002853,              0.0002853
                     28,                0.90909,                0.59529,                0.94373,                0.98494,                0.99106,                0.99013,                0.79024,                 0.7926,                0.44314,                 0.9006,             0.00027366,             0.00027366,             0.00027366
                     29,                0.87935,                0.58458,                0.93443,                0.98729,                0.97922,                0.98913,                0.79105,                0.77239,                0.44807,                0.89544,             0.00026201,             0.00026201,             0.00026201
                     30,                0.87416,                0.57823,                0.93994,                0.98158,                0.98752,                0.98741,                0.78909,                0.78021,                0.42772,                0.89686,             0.00025037,             0.00025037,             0.00025037
                     31,                0.88579,                0.58318,                0.94237,                0.98528,                0.98596,                0.98809,                0.77652,                0.82252,                0.45134,                0.90226,             0.00023873,             0.00023873,             0.00023873
                     32,                0.87953,                 0.5775,                0.94492,                0.98417,                0.98655,                0.98829,                0.79723,                0.78252,                0.43293,                 0.9032,             0.00022709,             0.00022709,             0.00022709
                     33,                0.87924,                 0.5729,                0.93732,                0.98482,                0.98848,                0.98897,                0.78878,                 0.7869,                0.42475,                0.89713,             0.00021544,             0.00021544,             0.00021544
                     34,                0.87801,                0.56036,                0.93924,                0.98003,                0.99129,                0.98895,                0.79541,                0.78519,                0.42263,                0.89463,              0.0002038,              0.0002038,              0.0002038
                     35,                0.86647,                0.56577,                 0.9344,                0.98428,                 0.9887,                0.98861,                 0.7982,                0.76984,                0.40237,                0.89381,             0.00019216,             0.00019216,             0.00019216
                     36,                0.85393,                0.55242,                0.93709,                0.98012,                  0.991,                0.98989,                0.80016,                0.77027,                0.40502,                0.89504,             0.00018052,             0.00018052,             0.00018052
                     37,                0.86316,                 0.5516,                0.93481,                0.98255,                0.99177,                0.98906,                0.78046,                 0.7992,                  0.414,                0.90554,             0.00016887,             0.00016887,             0.00016887
                     38,                0.85549,                0.54373,                0.93452,                 0.9837,                0.98399,                0.98956,                0.79716,                0.76717,                0.40051,                0.88971,             0.00015723,             0.00015723,             0.00015723
