                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5817,                 3.6175,                 1.2321,                0.03236,                0.94677,                0.22498,                0.15052,                 1.0466,                 3.4828,                0.89632,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.3473,                 1.9988,                 1.0836,                0.83979,                0.16583,                 0.5016,                0.35053,                  1.068,                 2.7434,                 0.9652,             0.00038301,             0.00038301,             0.00038301
                      3,                 1.2391,                 1.5131,                 1.0512,                0.73023,                0.63504,                0.71684,                0.47206,                 1.2033,                 1.7525,                0.97237,              0.0005713,              0.0005713,              0.0005713
                      4,                 1.1688,                 1.2583,                  1.024,                0.74549,                0.85062,                0.85959,                0.63443,                0.95965,                  1.084,                0.93669,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.1674,                 1.1563,                  1.027,                0.84373,                0.86249,                0.93606,                0.66388,                 1.0184,                0.99741,                0.95584,             0.00056472,             0.00056472,             0.00056472
                      6,                 1.1175,                 1.0392,                 1.0112,                 0.8657,                0.85489,                 0.9465,                0.70223,                0.93159,                0.90763,                0.93047,             0.00055889,             0.00055889,             0.00055889
                      7,                 1.1328,                0.95228,                 1.0098,                0.92903,                0.94309,                0.97436,                0.73986,                0.90782,                0.73484,                0.92534,             0.00055307,             0.00055307,             0.00055307
                      8,                 1.0627,                0.86454,                0.99103,                0.96542,                0.94921,                0.97896,                0.74873,                 0.8937,                0.71327,                0.92159,             0.00054725,             0.00054725,             0.00054725
                      9,                 1.0539,                0.82414,                0.99435,                0.96306,                0.96513,                0.98504,                 0.7527,                 0.9147,                 0.6726,                0.92645,             0.00054143,             0.00054143,             0.00054143
                     10,                 1.0434,                0.80209,                0.98705,                0.96506,                0.97509,                0.98404,                 0.7616,                0.87117,                0.60591,                0.92379,             0.00053561,             0.00053561,             0.00053561
                     11,                 1.0332,                0.78927,                 0.9836,                0.95812,                   0.97,                0.98805,                0.75479,                0.88689,                0.62904,                0.93856,             0.00052979,             0.00052979,             0.00052979
                     12,                 1.0229,                0.75336,                0.98186,                0.96828,                 0.9819,                0.98743,                0.77353,                0.86528,                0.61119,                0.91068,             0.00052397,             0.00052397,             0.00052397
                     13,                 1.0141,                0.74683,                  0.978,                 0.9723,                 0.9846,                0.98616,                0.78019,                0.85151,                 0.5705,                0.91093,             0.00051815,             0.00051815,             0.00051815
                     14,                0.99106,                  0.735,                0.97223,                0.97282,                 0.9803,                0.98777,                0.76726,                0.85174,                 0.5582,                 0.9164,             0.00051232,             0.00051232,             0.00051232
                     15,                0.98044,                0.69929,                0.96927,                 0.9727,                0.98369,                0.98889,                0.75686,                0.89073,                0.55358,                0.93021,              0.0005065,              0.0005065,              0.0005065
                     16,                0.96936,                 0.6923,                0.96781,                0.98493,                0.98716,                0.98771,                0.76513,                0.88078,                0.52597,                0.91911,             0.00050068,             0.00050068,             0.00050068
                     17,                0.97738,                0.69141,                0.97341,                0.97906,                0.98425,                0.98985,                0.78079,                0.84184,                0.54291,                0.91405,             0.00049486,             0.00049486,             0.00049486
                     18,                0.96212,                0.66847,                0.95833,                0.96862,                0.98357,                0.98726,                0.78082,                0.83765,                0.52715,                0.90824,             0.00048904,             0.00048904,             0.00048904
                     19,                0.94334,                0.66316,                0.96434,                0.98004,                0.99035,                0.98563,                0.75472,                0.89095,                0.52591,                0.92538,             0.00048322,             0.00048322,             0.00048322
                     20,                0.93348,                 0.6469,                0.95376,                0.97287,                0.97959,                 0.9902,                0.77646,                0.85391,                0.49327,                0.91507,              0.0004774,              0.0004774,              0.0004774
                     21,                0.94124,                0.63911,                0.95817,                0.97984,                0.98461,                0.99046,                0.76322,                0.87104,                0.48006,                0.91473,             0.00047158,             0.00047158,             0.00047158
                     22,                0.92876,                0.63263,                0.95383,                0.98222,                0.98794,                0.98726,                0.77546,                 0.8105,                0.47432,                0.90734,             0.00046575,             0.00046575,             0.00046575
