                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99758,                0.77485,                 1.3543,                0.98041,                0.98117,                0.98256,                0.75977,                0.91015,                  0.501,                  1.167,             0.00019084,             0.00019084,             0.00019084
                      2,                0.85359,                0.50557,                 1.2071,                0.98139,                0.98573,                0.98644,                0.76982,                0.89392,                0.43456,                 1.1525,             0.00038174,             0.00038174,             0.00038174
                      3,                0.83563,                 0.4691,                 1.1906,                 0.9736,                0.98319,                0.98773,                0.76758,                0.87087,                 0.4359,                 1.1417,             0.00056746,             0.00056746,             0.00056746
                      4,                0.81975,                0.45246,                 1.1599,                0.98044,                0.98492,                0.98568,                0.77857,                0.84795,                0.42444,                 1.1333,             0.00056472,             0.00056472,             0.00056472
                      5,                0.80474,                0.43536,                 1.1443,                0.96983,                0.98508,                0.98691,                0.78177,                0.83697,                0.39736,                 1.1125,             0.00055695,             0.00055695,             0.00055695
                      6,                0.80219,                0.42753,                 1.1525,                0.97218,                0.97734,                0.98768,                0.76223,                0.91051,                0.42568,                 1.1983,             0.00054919,             0.00054919,             0.00054919
                      7,                0.80552,                0.42027,                 1.1503,                0.97644,                 0.9878,                0.98653,                0.77436,                0.86705,                0.40369,                 1.1201,             0.00054143,             0.00054143,             0.00054143
                      8,                0.77094,                0.40326,                  1.117,                0.98094,                0.98774,                0.98544,                0.77237,                0.89212,                0.39405,                 1.1519,             0.00053367,             0.00053367,             0.00053367
                      9,                0.80283,                0.41615,                 1.1463,                 0.9799,                0.98766,                 0.9841,                0.77253,                0.85515,                0.39641,                 1.1326,             0.00052591,             0.00052591,             0.00052591
                     10,                0.77059,                0.40469,                  1.127,                0.97589,                0.98832,                0.98721,                 0.7844,                0.83225,                0.38586,                 1.1182,             0.00051815,             0.00051815,             0.00051815
                     11,                0.77341,                0.40421,                 1.1218,                0.96345,                  0.988,                0.98795,                0.77861,                0.83577,                0.38687,                 1.1351,             0.00051038,             0.00051038,             0.00051038
                     12,                0.75914,                0.39612,                 1.1228,                0.97223,                0.98659,                0.98674,                0.78428,                0.84624,                0.37604,                 1.1127,             0.00050262,             0.00050262,             0.00050262
                     13,                0.77963,                0.39431,                 1.1232,                0.97739,                0.97852,                0.98755,                0.77898,                0.83902,                0.38502,                 1.1234,             0.00049486,             0.00049486,             0.00049486
                     14,                0.74115,                0.37843,                 1.1034,                0.97949,                 0.9828,                0.98627,                0.78265,                0.83505,                0.37261,                 1.1083,              0.0004871,              0.0004871,              0.0004871
                     15,                0.77263,                0.39393,                 1.1268,                0.98086,                0.98842,                0.99009,                0.78189,                 0.8427,                0.36458,                 1.1288,             0.00047934,             0.00047934,             0.00047934
                     16,                0.72455,                0.36982,                 1.0807,                0.97649,                0.98932,                0.98839,                0.79179,                0.84706,                0.36839,                 1.1205,             0.00047158,             0.00047158,             0.00047158
                     17,                0.73783,                0.36961,                 1.0987,                0.97759,                0.97713,                 0.9876,                 0.7879,                0.83258,                0.35851,                 1.1106,             0.00046381,             0.00046381,             0.00046381
                     18,                0.72366,                0.36649,                 1.0946,                0.97672,                0.98921,                0.98601,                 0.7884,                0.82067,                0.35915,                 1.1072,             0.00045605,             0.00045605,             0.00045605
                     19,                0.71441,                0.36291,                 1.0725,                 0.9769,                0.98781,                0.98305,                0.79005,                0.81582,                0.36203,                 1.1059,             0.00044829,             0.00044829,             0.00044829
                     20,                0.71427,                0.36293,                 1.0828,                0.97787,                0.99077,                0.98904,                0.78838,                0.82791,                0.35911,                 1.1224,             0.00044053,             0.00044053,             0.00044053
                     21,                0.72717,                0.36562,                 1.1023,                0.97563,                0.98928,                0.98806,                0.79477,                0.82576,                0.36386,                 1.1121,             0.00043277,             0.00043277,             0.00043277
