                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5817,                 3.6175,                 1.2321,                0.03236,                0.94677,                0.22498,                0.15052,                 1.0466,                 3.4828,                0.89632,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.3464,                 1.9992,                 1.0836,                0.80893,                 0.2007,                0.49607,                0.34414,                 1.0767,                 2.7368,                0.96584,             0.00037918,             0.00037918,             0.00037918
                      3,                 1.2371,                 1.5147,                 1.0523,                0.76202,                0.55812,                0.69917,                0.45253,                 1.2306,                 1.8413,                0.98579,             0.00055976,             0.00055976,             0.00055976
                      4,                 1.1667,                 1.2598,                 1.0228,                0.75153,                0.78963,                0.85153,                0.62424,                0.95522,                 1.1168,                0.93517,             0.00055307,             0.00055307,             0.00055307
                      5,                 1.1688,                  1.154,                 1.0273,                0.83429,                 0.8853,                0.95566,                0.68196,                 1.0198,                0.97182,                0.95806,             0.00054143,             0.00054143,             0.00054143
                      6,                 1.1123,                 1.0339,                 1.0086,                0.87438,                0.90187,                0.95728,                 0.7187,                0.91452,                0.89612,                0.92899,             0.00052979,             0.00052979,             0.00052979
                      7,                 1.1338,                0.95622,                 1.0092,                0.92869,                0.94897,                 0.9734,                0.74672,                0.87156,                 0.7413,                0.92179,             0.00051815,             0.00051815,             0.00051815
                      8,                 1.0614,                0.86229,                0.99099,                0.96098,                0.94962,                0.97951,                0.75564,                0.86747,                0.69359,                0.91587,              0.0005065,              0.0005065,              0.0005065
                      9,                 1.0516,                0.82753,                0.99224,                0.95541,                0.96275,                0.98079,                0.76117,                0.86826,                 0.6595,                0.91894,             0.00049486,             0.00049486,             0.00049486
                     10,                 1.0398,                0.80054,                0.98455,                0.97036,                 0.9779,                0.98473,                0.76998,                0.87097,                0.59421,                0.91767,             0.00048322,             0.00048322,             0.00048322
                     11,                 1.0287,                0.78126,                 0.9822,                0.95745,                0.97486,                0.98796,                0.75339,                0.88732,                0.63022,                0.93733,             0.00047158,             0.00047158,             0.00047158
                     12,                 1.0211,                0.75205,                0.98176,                0.96424,                 0.9784,                0.98898,                0.77673,                0.85667,                0.62714,                0.91211,             0.00045993,             0.00045993,             0.00045993
                     13,                 1.0174,                0.74713,                0.97797,                0.97522,                0.98249,                 0.9895,                0.78048,                 0.8359,                0.56083,                0.90847,             0.00044829,             0.00044829,             0.00044829
                     14,                0.98453,                 0.7247,                0.96933,                0.97075,                0.98671,                0.98983,                0.77051,                 0.8494,                0.54749,                0.91256,             0.00043665,             0.00043665,             0.00043665
                     15,                0.96907,                0.69596,                0.96568,                0.97636,                 0.9797,                0.98775,                0.75512,                0.89355,                0.54716,                0.92842,             0.00042501,             0.00042501,             0.00042501
                     16,                0.96672,                0.69048,                0.96662,                0.97739,                0.98866,                0.99031,                0.75849,                0.90648,                0.52893,                0.92309,             0.00041336,             0.00041336,             0.00041336
                     17,                0.94886,                0.68035,                0.96293,                0.96053,                0.98206,                0.98823,                0.78596,                0.82093,                0.54464,                0.90507,             0.00040172,             0.00040172,             0.00040172
                     18,                0.94827,                0.66344,                0.95553,                0.97608,                0.98663,                0.98807,                0.77208,                0.84516,                0.52445,                0.91374,             0.00039008,             0.00039008,             0.00039008
                     19,                0.94974,                0.67193,                0.96287,                0.97698,                0.99187,                0.98762,                0.78933,                0.80414,                0.48818,                 0.9018,             0.00037844,             0.00037844,             0.00037844
                     20,                0.91436,                 0.6467,                0.94694,                0.96282,                0.96419,                0.98814,                0.77752,                0.79821,                 0.5138,                0.90259,             0.00036679,             0.00036679,             0.00036679
                     21,                0.92625,                0.64531,                0.95164,                0.97862,                0.98597,                0.98987,                0.77592,                0.84632,                 0.4835,                0.90649,             0.00035515,             0.00035515,             0.00035515
                     22,                0.92075,                0.63675,                0.94955,                0.98202,                0.98747,                 0.9872,                0.78341,                0.78318,                0.46324,                0.89813,             0.00034351,             0.00034351,             0.00034351
                     23,                0.89896,                0.62576,                0.94886,                0.97492,                0.98663,                0.98934,                0.79517,                 0.7874,                0.46451,                0.90187,             0.00033187,             0.00033187,             0.00033187
                     24,                0.91867,                0.62044,                0.95884,                0.98024,                0.98582,                0.98893,                0.78827,                0.81116,                0.44418,                0.90322,             0.00032022,             0.00032022,             0.00032022
                     25,                0.90025,                 0.6132,                0.94852,                0.98013,                0.98833,                 0.9882,                0.76851,                0.86465,                0.45718,                0.91159,             0.00030858,             0.00030858,             0.00030858
                     26,                0.88781,                 0.5942,                0.94687,                0.98312,                0.98944,                0.98607,                0.79189,                0.79433,                0.44896,                0.90131,             0.00029694,             0.00029694,             0.00029694
                     27,                0.88531,                0.59928,                0.94756,                0.97983,                0.98818,                0.98992,                0.77151,                0.87266,                0.46131,                0.92167,              0.0002853,              0.0002853,              0.0002853
                     28,                0.88572,                0.58071,                0.94282,                0.98253,                0.98692,                0.98857,                0.79275,                 0.7887,                0.43727,                0.89955,             0.00027366,             0.00027366,             0.00027366
